Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",128552,4302,3909,1707,2533,545,1324,2789,1492,1900,3987,1260,2436,1564,2198,3721,3424,28581,3881,6054,16518,9117,17845,5259,1692,514
"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",176397,4343,5930,3003,900,2723,831,1995,1941,1835,2676,1493,2152,2765,2248,3805,4029,19881,3033,7023,21983,7887,46567,20369,4521,2464
"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",170771,7037,2176,3668,916,728,1222,1655,1201,1397,1290,1006,1158,780,732,982,331,7938,806,3693,11382,3334,71604,29431,11636,4668
"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",155043,8164,6913,2821,1699,1682,2287,1543,2043,3040,2577,2177,2807,1884,3403,3113,3129,18883,2177,3504,14253,5468,35197,19057,5582,1640
"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",145454,6237,6765,1873,1804,1951,1940,3093,1945,2761,3780,2509,3941,2912,2990,3822,3008,18534,3300,5372,13990,6891,28344,12388,3365,1939
"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",137142,4690,2973,2331,2390,1311,343,2450,1155,2345,2667,2109,2944,3037,2933,3064,2102,28051,3701,8022,15105,8048,24880,8688,1481,322
"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",191735,6251,11183,3219,2672,4255,2218,2121,2187,4834,6961,4180,5456,6009,3859,7658,5673,53354,4624,8121,23313,6233,12572,4276,280,226
"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",140259,7456,5699,2718,1641,1641,2318,2911,1032,3092,3928,903,2335,2301,2620,2461,1905,19957,2978,4271,13612,4988,33188,12052,3296,956
"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",183928,7189,7267,1426,2874,2319,2683,3501,4137,3491,6983,5310,5452,7922,7408,11977,9063,39488,4501,5087,20444,8099,12786,3586,348,587
"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",179982,6915,3827,2057,761,1551,1305,1232,632,1639,3317,1879,2675,1290,3104,2085,2010,23824,1361,6203,16198,5821,54699,23531,7754,4312
"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",149856,3850,672,1543,126,88,44,1027,166,482,522,378,1809,361,176,832,446,8902,400,4969,12526,3720,57618,26498,16581,6120
"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",160345,6602,8969,2438,2726,3223,1623,2191,2498,3316,7336,3763,5802,3895,4132,5493,5791,39941,6607,5060,15107,5014,13321,4354,230,913
"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",142651,9521,5727,1911,2780,1997,1140,2152,2543,1841,5640,2286,5914,4714,2813,3344,2950,39936,3452,4684,14019,6125,12189,4103,569,301
"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",129279,6353,6470,1306,2285,2862,1201,2190,2496,1776,3650,4028,3139,2288,2806,5748,1779,33107,4610,8077,16341,5155,8816,2367,363,66
"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",195179,7466,5374,2188,2627,1378,2873,3022,2626,4287,2402,2214,3406,2742,3574,6137,2234,25882,4479,8919,33876,10556,28322,17773,4483,6339
"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",125173,3566,3297,1019,1182,1073,2354,1357,2958,1118,2707,2577,3164,982,2623,4317,3375,23171,2416,7178,18364,7367,16510,10082,1275,1141
"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",123147,3976,3567,2521,893,912,1074,2674,1125,1321,1763,1628,2460,2515,3968,5940,1484,25511,7499,8786,18808,7308,10293,5380,654,1087
"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",136369,5681,5774,1487,851,1653,2285,2318,2509,1215,5186,2433,6438,3410,4557,5941,1575,32212,4094,5200,20706,5462,11081,3994,161,146
"McHenry County (North, West & Central) PUMA; Illinois",136354,5523,3486,3424,2191,2697,1096,928,2273,2641,2048,2597,2509,2660,3390,2888,1452,19419,2366,10684,16869,10880,21483,9925,2039,886
"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",171796,4760,2968,2691,1031,1714,1961,3160,2596,2830,2689,3325,4177,2964,3367,2327,1613,34905,2694,8128,21945,12211,33053,12621,1112,954
"Kendall & Grundy Counties PUMA, Illinois",178863,8183,4553,3176,4054,1355,3736,4600,2483,2971,2390,2881,5966,1956,4093,4546,1764,32314,3804,10078,22241,10983,25261,13224,1085,1166
"Lake County (Northwest)--Hammond & East Chicago Cities PUMA, Indiana",108176,2721,4984,1121,1544,2017,1397,1828,2056,2304,4200,1658,3564,4015,4383,5399,2349,26608,4317,6542,11711,4436,5854,2579,452,137
"Lake County (Northeast)--Gary City & Griffith Town PUMA, Indiana",123152,5356,3959,1753,742,2502,1415,1979,2077,1317,3226,1955,2264,3379,2258,6262,2397,35698,5236,5819,14110,6744,7287,4127,854,436
"Lake County (Central) PUMA, Indiana",118546,3334,2656,1800,1291,1558,1247,1124,1644,1215,3115,604,2010,2417,2244,3017,1251,27771,2280,7082,15787,6518,19850,5889,2277,565
"Lake County (South) PUMA, Indiana",133954,4475,3573,2334,1511,1460,1699,2672,1393,1508,3359,1544,5100,2369,3160,2542,1238,29524,1865,7731,17941,10339,17413,6931,1375,898
"Porter County PUMA, Indiana",169301,4962,4964,2772,2005,2341,2520,1187,2928,1434,2470,3038,3528,3143,3921,3220,1800,45295,5098,7241,18415,11731,22416,8412,2934,1526
"Jasper, Starke, Fulton, Newton & Pulaski Counties PUMA; Indiana",101892,3926,4245,1568,1372,1075,1275,1921,978,822,1051,1236,2295,1483,4237,5527,1809,25823,4737,6952,10949,6486,9242,2518,161,204
"Kenosha County PUMA, Wisconsin",169534,6489,3438,1531,2139,943,3096,1777,2568,4231,3411,2430,3720,5050,3562,4477,4316,31962,3477,13840,21778,17064,19470,7151,961,653
