Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",102386,4333,2516,1938,1525,1321,1381,1640,2519,1097,2343,1000,3077,2172,1202,1813,1016,14752,940,2829,9196,4775,20668,11836,5445,1052
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",101624,2728,1707,1666,1163,1220,1392,1516,990,1252,1373,1706,2446,1352,1954,2676,1419,13360,1510,3986,8425,7688,20938,12911,4972,1274
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",99355,3307,1987,2189,950,903,1363,735,1629,1010,828,463,1892,1876,1803,1874,839,13771,1027,4716,8432,7515,21631,12800,3763,2052
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",115794,3321,2366,2647,2149,1634,591,674,1507,1344,2440,908,1604,2637,2120,2280,1074,13881,1212,7181,9611,8365,27931,12382,3960,1975
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",108955,2272,2818,1718,663,1481,1825,1155,1003,1843,2092,1311,1126,1973,2499,1352,1611,19517,1441,7274,13094,8019,16877,10987,2021,2983
"Suffolk County (East) PUMA, New York",139078,3779,3249,1888,2513,1149,1168,1143,1425,1892,2009,2114,1964,3434,2887,1672,862,27068,2355,6357,12865,10909,23967,16275,4824,1310
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",136311,4219,3625,2110,2275,1518,1314,3666,3927,1587,3274,2343,2341,3551,5044,3670,1578,29942,4540,6762,15142,11474,13497,6839,1101,972
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",131933,4527,3552,1566,1039,724,1186,1005,2019,934,972,2780,3731,2577,1980,3113,1464,30697,2925,7057,16284,11940,17395,10158,1473,835
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",106143,4110,2838,1855,867,1269,1107,923,1658,951,2393,1457,1134,1509,2558,2417,1458,20967,2268,7749,10091,8711,17072,8672,1075,1034
"Suffolk County (Central)--Islip Town (East) PUMA, New York",99090,3277,1177,1405,717,381,1223,713,1380,888,1150,1568,1213,1808,2463,2011,771,23485,1757,5842,7794,7019,18339,10573,1579,557
