Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Los Angeles County (South Central)--Carson City PUMA, California",115173,2582,5415,1320,2166,803,1763,2074,1135,2158,4350,1203,1942,3190,2809,3744,2775,17413,2597,4649,18153,6097,20130,5604,809,292
"Los Angeles County (South Central)--Long Beach City (North) PUMA, California",147029,6447,9855,2543,1409,970,2068,2218,3309,1979,6159,2010,3368,4144,3181,2857,4061,21429,1592,6030,28678,9599,16170,5383,921,649
"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California",162397,5098,6266,1871,1417,1730,1562,1506,2536,1916,3849,2315,2221,3091,3109,4100,3903,24338,2361,7183,25740,11718,30797,9782,2251,1737
"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California",136567,3803,5273,1568,1702,792,945,677,1436,1634,1335,991,1381,654,1643,1462,1343,12739,1204,5325,28722,9264,34665,12095,3775,2139
"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California",100115,2815,12733,733,1435,2570,1004,1598,1267,1100,3531,1720,1670,3719,2412,1638,1598,13387,1676,4211,17935,6036,10061,4081,522,663
"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California",187733,7224,10148,2731,2369,3717,2850,4684,2621,3410,8783,2602,5160,5016,3919,9561,3760,33371,4151,7492,26945,9657,19350,6158,1076,978
"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California",110415,1957,2747,1655,1376,1441,1389,859,1196,1203,1598,1354,1698,2416,2952,2893,2702,8712,452,3092,11084,5416,30808,12696,6198,2521
"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California",95379,3095,11191,1407,996,1264,1112,1596,902,1499,2189,965,1012,2149,2119,2328,1989,11824,888,5593,15267,4505,16242,3439,974,834
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California",182998,4091,3547,3741,1821,1985,1768,1644,2471,1744,2792,1548,2720,3900,1945,4494,2990,17539,5123,10324,25366,13683,42834,16323,5872,2733
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California",106039,2776,3875,761,976,801,1152,1230,660,1428,1101,1326,1628,1288,1485,2958,1446,11826,909,5590,13734,8994,28246,8315,1000,2534
