Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California",75503,153504.3466,5188.321219,18.41810259
"Los Angeles County (Southwest)--Santa Monica City PUMA, California",57885,121486.2959,2556.543146,22.62378855
"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California",93430,108138.3984,2331.788087,23.17842235
"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California",82724,90064.83366,1991.71851,24.72785407
"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California",69446,109040.3712,2974.085664,23.22091985
"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California",90531,62788.58667,1086.289536,29.91948614
"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California",52052,36801.36921,227.6998578,35.40601706
"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California",83928,67156.43206,947.5453484,28.79924459
"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California",67569,84471.21023,1992.692463,18.83310394
"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California",45563,79469.92911,1845.21805,23.57399644
"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California",40259,72192.89948,2053.253682,19.88410045
